ID,Date,Title,rhetorical strategy,emotional tone,subject framing,if is policy-related,Platform,genre,image,image description,summary,threat frame
13,20241123,How to say no to antibiotic abuse?,questioning,neutral,group of people,no,CCTV.com,advice,yes,a bootle of colorful pills,"It is crucial for the public to understand that antibiotic misuse not only compromises treatment efficacy but also triggers adverse reactions such as allergies, gut dysbiosis, and liver/kidney damage. Moreover, it accelerates bacterial resistance, rendering once-effective antibiotics useless and potentially leading to a future where no treatments remain available.",battle
14,20241107,Chinese scientists reveal new mechanism for phage escape defense.,event reference,positive,profession,no,CCTV.com,discovery,no,NA,"Currently, bacterial resistance to antibiotics has become a global public health challenge, posing significant difficulties for antimicrobial treatment. The development and application of phage therapy may offer new treatment options for bacterial infections.",battle
15,20241024,Kazan Declaration of the 16th BRICS Summit.,event reference,positive,profession,yes,CCTV.com,discovery,no,NA,"We express concern over the growing threat of antibiotic resistance to all economic sectors, particularly the healthcare sector, and note that the inaugural BRICS Conference on Antimicrobial Resistance held in May 2024 is highly timely.?",NA
16,20240927,UN conference adopts declaration to address the threat of antibiotic resistance.,appeal to authority,neutral,profession,yes,CCTV.com,alert,yes,a spoon with colorful pills,"The declaration states that the goal is to ensure that by 2030, at least 70% of antibiotics used globally for human health belong to the World Health Organization's “accessible” category. These antibiotics have relatively fewer side effects and are less likely to contribute to antibiotic resistance.?",risk
17,20240919,Taiwan Affairs Office: Support the cancellation of the 34 zero-tariff policies on agricultural products from Taiwan.,event reference,neutral,profession,yes,CCTV.com,advice,yes,a farmer market,"New Study: Antibiotic Resistance Could Cause 39 Million Deaths Between 2025 and 2050. · Latvia Detects “Unidentified Flying Object” Crossing Border; NATO Fighters scrambled. · Floods Hit Multiple Central and Eastern European Countries, Killing at Least 22 People.",risk
18,20240918,New study: Antibiotic resistance could lead to 39 million deaths between 2025 and 2050,consequence emphasizing,negative,society,no,CCTV.com,alert,no,NA,Researchers interviewed by Xinhua News Agency on the 17th emphasized that antibiotic resistance has become a major global public health challenge requiring decisive action to counter this threat. Antibiotic resistance refers to changes in pathogenic microorganisms that enable them to withstand antibiotics designed to kill them.,risk
19,20240918,Study shows antibiotic resistance could lead to 39 million deaths globally over the next 25 years,consequence emphasizing,negative,group of people,no,CCTV.com,alert,yes,bacteria under microscope,"Researchers stated on the 17th that antibiotic resistance has become a major global public health challenge, requiring decisive action to counter this threat. Antibiotic resistance occurs when pathogenic microorganisms mutate and develop immunity to antibiotics that would otherwise kill them.",risk
20,20240910,Bacterial cells can pass on memories to their offspring,NA,neutral,bacteria,no,CCTV.com,discovery,yes,3D cartoon image of bacterias,"Using this new discovery, researchers can cleverly modify pathogens so that their offspring become more sensitive to treatment, thereby circumventing antibiotic resistance. A central assumption in bacterial biology is that heritable physical traits are primarily determined by DNA.",superbug
21,20240906,China has built the world's most comprehensive marine microbial gene database,appeal to authority,positive,profession,yes,CCTV.com,discovery,yes,The ocean and an island,"Researchers have identified a novel Cas9 editing system (Om1Cas9) with potential applications, which will enhance China's independence and options in utilizing gene editing tools. Additionally, they discovered 10 novel antimicrobial peptides exhibiting significant antibacterial activity and broad-spectrum effects. The application of these findings may offer new solutions to the challenge of antibiotic resistance.",NA
22,20240906,A joint Chinese-foreign research team decodes the “genetic treasure trove” of marine microbes,appeal to authority,positive,profession,no,CCTV.com,discovery,yes,the marine and marine life,"Second, the research team identified 117 novel antimicrobial peptides. Through biosynthesis and experimental validation, they found that 10 of these exhibit significant antibacterial activity and broad-spectrum antimicrobial effects, offering new solutions to the challenge of antibiotic resistance.??",NA
23,20240503,Century-old Merieux gains new momentum from cooperation with China,event reference,positive,profession,yes,CCTV.com,discovery,yes,The ocean and an island,"Alain Merieux stated, “We have long-term collaborative projects with Chinese teams. Our goal is to find answers to major public health challenges, such as bacterial resistance to antibiotics, which is a global threat.”",NA
24,20240119,Is home virus testing reliable? It is not suitable for everyone,NA,neutral,medicine,no,CCTV.com,advice,yes,A virus self-tester that displays results,The misuse of antibiotics not only risks disrupting the microbial balance but also contributes to the development of bacterial resistance.,risk
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

